date/time: ,14/02/2024,02:20 p.m.
Run 1

time	(V)
0,000000	5,134931E-1
0,002000	5,160031E-1
0,004000	5,185130E-1
0,006000	5,185130E-1
0,008000	5,185130E-1
0,010000	5,235329E-1
0,012000	5,134931E-1
0,014000	5,235329E-1
0,016000	5,134931E-1
0,018000	5,235329E-1
0,020000	5,185130E-1
0,022000	5,185130E-1
0,024000	5,185130E-1
0,026000	5,185130E-1
0,028000	5,235329E-1
0,030000	5,134931E-1
0,032000	5,185130E-1
0,034000	5,185130E-1
0,036000	5,134931E-1
0,038000	5,235329E-1
0,040000	5,109832E-1
0,042000	5,185130E-1
0,044000	5,185130E-1
0,046000	5,109832E-1
0,048000	5,235329E-1
0,050000	5,185130E-1
0,052000	5,185130E-1
0,054000	5,185130E-1
0,056000	5,084732E-1
0,058000	5,235329E-1
0,060000	5,185130E-1
0,062000	5,185130E-1
0,064000	5,185130E-1
0,066000	5,109832E-1
0,068000	5,235329E-1
0,070000	5,185130E-1
0,072000	5,134931E-1
0,074000	5,185130E-1
0,076000	5,160031E-1
0,078000	5,235329E-1
0,080000	5,109832E-1
0,082000	5,185130E-1
0,084000	5,185130E-1
0,086000	5,109832E-1
0,088000	5,160031E-1
0,090000	5,185130E-1
0,092000	5,109832E-1
0,094000	5,260429E-1
0,096000	5,185130E-1
0,098000	5,185130E-1
0,100000	5,160031E-1
0,102000	5,185130E-1
0,104000	5,235329E-1
0,106000	5,109832E-1
0,108000	5,185130E-1
0,110000	5,210230E-1
0,112000	5,160031E-1
0,114000	5,235329E-1
0,116000	5,160031E-1
0,118000	5,185130E-1
0,120000	5,235329E-1
0,122000	5,134931E-1
0,124000	5,160031E-1
0,126000	5,185130E-1
0,128000	5,185130E-1
0,130000	5,235329E-1
0,132000	5,134931E-1
0,134000	5,185130E-1
0,136000	5,160031E-1
0,138000	5,160031E-1
0,140000	5,260429E-1
0,142000	5,134931E-1
0,144000	5,235329E-1
0,146000	5,210230E-1
0,148000	5,185130E-1
0,150000	5,235329E-1
0,152000	5,084732E-1
0,154000	5,185130E-1
0,156000	5,185130E-1
0,158000	5,160031E-1
0,160000	5,210230E-1
0,162000	5,084732E-1
0,164000	5,235329E-1
0,166000	5,185130E-1
0,168000	5,185130E-1
0,170000	5,160031E-1
0,172000	5,134931E-1
0,174000	5,235329E-1
0,176000	5,109832E-1
0,178000	5,160031E-1
0,180000	5,185130E-1
0,182000	5,185130E-1
0,184000	5,235329E-1
0,186000	5,134931E-1
0,188000	5,260429E-1
0,190000	5,109832E-1
0,192000	5,235329E-1
0,194000	5,109832E-1
0,196000	5,134931E-1
0,198000	5,185130E-1
0,200000	5,160031E-1
0,202000	5,160031E-1
0,204000	5,185130E-1
0,206000	5,185130E-1
0,208000	5,134931E-1
0,210000	5,235329E-1
0,212000	5,134931E-1
0,214000	5,235329E-1
0,216000	5,109832E-1
0,218000	5,185130E-1
0,220000	5,160031E-1
0,222000	5,160031E-1
0,224000	5,160031E-1
0,226000	5,185130E-1
0,228000	5,260429E-1
0,230000	5,134931E-1
0,232000	5,235329E-1
0,234000	5,185130E-1
0,236000	5,160031E-1
0,238000	5,185130E-1
0,240000	5,210230E-1
0,242000	5,160031E-1
0,244000	5,185130E-1
0,246000	5,210230E-1
0,248000	5,185130E-1
0,250000	5,235329E-1
0,252000	5,134931E-1
0,254000	5,235329E-1
0,256000	5,160031E-1
0,258000	5,160031E-1
0,260000	5,185130E-1
0,262000	5,134931E-1
0,264000	5,235329E-1
0,266000	5,109832E-1
0,268000	5,260429E-1
0,270000	5,134931E-1
0,272000	5,160031E-1
0,274000	5,185130E-1
0,276000	5,160031E-1
0,278000	5,210230E-1
0,280000	5,109832E-1
0,282000	5,235329E-1
0,284000	5,134931E-1
0,286000	5,235329E-1
0,288000	5,134931E-1
0,290000	5,185130E-1
0,292000	5,185130E-1
0,294000	5,185130E-1
0,296000	5,185130E-1
0,298000	5,109832E-1
0,300000	5,235329E-1
0,302000	5,134931E-1
0,304000	5,235329E-1
0,306000	5,134931E-1
0,308000	5,160031E-1
0,310000	5,210230E-1
0,312000	5,160031E-1
0,314000	5,185130E-1
0,316000	5,185130E-1
0,318000	5,235329E-1
0,320000	5,160031E-1
0,322000	5,160031E-1
0,324000	5,235329E-1
0,326000	5,134931E-1
0,328000	5,210230E-1
0,330000	5,185130E-1
0,332000	5,109832E-1
0,334000	5,235329E-1
0,336000	5,160031E-1
0,338000	5,160031E-1
0,340000	5,160031E-1
0,342000	5,185130E-1
0,344000	5,235329E-1
0,346000	5,134931E-1
0,348000	5,185130E-1
0,350000	5,210230E-1
0,352000	5,185130E-1
0,354000	5,210230E-1
0,356000	5,109832E-1
0,358000	5,235329E-1
0,360000	5,185130E-1
0,362000	5,160031E-1
0,364000	5,235329E-1
0,366000	5,185130E-1
0,368000	5,160031E-1
0,370000	5,160031E-1
0,372000	5,109832E-1
0,374000	5,210230E-1
0,376000	5,109832E-1
0,378000	5,185130E-1
0,380000	5,160031E-1
0,382000	5,185130E-1
0,384000	5,235329E-1
0,386000	5,134931E-1
0,388000	5,235329E-1
0,390000	5,134931E-1
0,392000	5,160031E-1
0,394000	5,235329E-1
0,396000	5,109832E-1
0,398000	5,235329E-1
0,400000	5,185130E-1
0,402000	5,185130E-1
0,404000	5,235329E-1
0,406000	5,109832E-1
0,408000	5,185130E-1
0,410000	5,210230E-1
0,412000	5,185130E-1
0,414000	5,185130E-1
0,416000	5,109832E-1
0,418000	5,235329E-1
0,420000	5,134931E-1
0,422000	5,185130E-1
0,424000	5,185130E-1
0,426000	5,185130E-1
0,428000	5,160031E-1
0,430000	5,109832E-1
0,432000	5,235329E-1
0,434000	5,109832E-1
0,436000	5,160031E-1
0,438000	5,160031E-1
0,440000	5,109832E-1
0,442000	5,235329E-1
0,444000	5,134931E-1
0,446000	5,185130E-1
0,448000	5,160031E-1
0,450000	5,185130E-1
0,452000	5,235329E-1
0,454000	5,109832E-1
0,456000	5,235329E-1
0,458000	5,185130E-1
0,460000	5,160031E-1
0,462000	5,235329E-1
0,464000	5,134931E-1
0,466000	5,260429E-1
0,468000	5,185130E-1
0,470000	5,160031E-1
0,472000	5,160031E-1
0,474000	5,109832E-1
0,476000	5,235329E-1
0,478000	5,109832E-1
0,480000	5,185130E-1
0,482000	5,185130E-1
0,484000	5,109832E-1
0,486000	5,260429E-1
0,488000	5,185130E-1
0,490000	5,185130E-1
0,492000	5,160031E-1
0,494000	5,185130E-1
0,496000	5,160031E-1
0,498000	5,134931E-1
0,500000	5,235329E-1
0,502000	5,185130E-1
0,504000	5,185130E-1
0,506000	5,185130E-1
0,508000	5,109832E-1
0,510000	5,210230E-1
0,512000	5,185130E-1
0,514000	5,134931E-1
0,516000	5,185130E-1
0,518000	5,084732E-1
0,520000	5,260429E-1
0,522000	5,185130E-1
0,524000	5,160031E-1
0,526000	5,185130E-1
0,528000	5,134931E-1
0,530000	5,235329E-1
0,532000	5,185130E-1
0,534000	5,160031E-1
0,536000	5,235329E-1
0,538000	5,134931E-1
0,540000	5,235329E-1
0,542000	5,185130E-1
0,544000	5,210230E-1
0,546000	5,210230E-1
0,548000	5,185130E-1
0,550000	5,210230E-1
0,552000	5,134931E-1
0,554000	5,185130E-1
0,556000	5,160031E-1
0,558000	5,109832E-1
0,560000	5,235329E-1
0,562000	5,134931E-1
0,564000	5,160031E-1
0,566000	5,160031E-1
0,568000	5,109832E-1
0,570000	5,235329E-1
0,572000	5,134931E-1
0,574000	5,160031E-1
0,576000	5,210230E-1
0,578000	5,185130E-1
0,580000	5,235329E-1
0,582000	5,134931E-1
0,584000	5,185130E-1
0,586000	5,160031E-1
0,588000	5,134931E-1
0,590000	5,235329E-1
0,592000	5,134931E-1
0,594000	5,185130E-1
0,596000	5,210230E-1
0,598000	5,109832E-1
0,600000	5,160031E-1
0,602000	5,185130E-1
0,604000	5,109832E-1
0,606000	5,235329E-1
0,608000	5,109832E-1
0,610000	5,210230E-1
0,612000	5,185130E-1
0,614000	5,109832E-1
0,616000	5,235329E-1
0,618000	5,160031E-1
0,620000	5,185130E-1
0,622000	5,235329E-1
0,624000	5,109832E-1
0,626000	5,235329E-1
0,628000	5,185130E-1
0,630000	5,160031E-1
0,632000	5,160031E-1
0,634000	5,185130E-1
0,636000	5,210230E-1
0,638000	5,109832E-1
0,640000	5,185130E-1
0,642000	5,160031E-1
0,644000	5,134931E-1
0,646000	5,235329E-1
0,648000	5,109832E-1
0,650000	5,235329E-1
0,652000	5,160031E-1
0,654000	5,160031E-1
0,656000	5,185130E-1
0,658000	5,109832E-1
0,660000	5,235329E-1
0,662000	5,134931E-1
0,664000	5,185130E-1
0,666000	5,185130E-1
0,668000	5,134931E-1
0,670000	5,235329E-1
0,672000	5,109832E-1
0,674000	5,235329E-1
0,676000	5,160031E-1
0,678000	5,185130E-1
0,680000	5,235329E-1
0,682000	5,134931E-1
0,684000	5,260429E-1
0,686000	5,185130E-1
0,688000	5,185130E-1
0,690000	5,160031E-1
0,692000	5,084732E-1
0,694000	5,235329E-1
0,696000	5,160031E-1
0,698000	5,185130E-1
0,700000	5,185130E-1
0,702000	5,160031E-1
0,704000	5,235329E-1
0,706000	5,109832E-1
0,708000	5,235329E-1
0,710000	5,109832E-1
0,712000	5,235329E-1
0,714000	5,160031E-1
0,716000	5,160031E-1
0,718000	5,185130E-1
0,720000	5,109832E-1
0,722000	5,260429E-1
0,724000	5,134931E-1
0,726000	5,210230E-1
0,728000	5,160031E-1
0,730000	5,109832E-1
0,732000	5,235329E-1
0,734000	5,134931E-1
0,736000	5,185130E-1
0,738000	5,235329E-1
0,740000	5,134931E-1
0,742000	5,210230E-1
0,744000	5,160031E-1
0,746000	5,185130E-1
0,748000	5,235329E-1
0,750000	5,109832E-1
0,752000	5,160031E-1
0,754000	5,160031E-1
0,756000	5,185130E-1
0,758000	5,185130E-1
0,760000	5,185130E-1
0,762000	5,235329E-1
0,764000	5,109832E-1
0,766000	5,235329E-1
0,768000	5,134931E-1
0,770000	5,185130E-1
0,772000	5,160031E-1
0,774000	5,160031E-1
0,776000	5,235329E-1
0,778000	5,134931E-1
0,780000	5,235329E-1
0,782000	5,109832E-1
0,784000	5,185130E-1
0,786000	5,160031E-1
0,788000	5,185130E-1
0,790000	5,185130E-1
0,792000	5,134931E-1
0,794000	5,185130E-1
0,796000	5,160031E-1
0,798000	5,160031E-1
0,800000	5,134931E-1
0,802000	5,109832E-1
